상대공항명,IATA,ICAO,기준거리(km),기준년도
김해,PUS,RKPK,338,2014
제주,CJU,RKPC,438,2014
대구,TAE,RKTN,264,2014
양양,YNY,RKNY,208,2014
여수,RSU,RKJY,309,2014
브리즈번,BNE,YBBN,"7,701",2014
골드코스트,OOL,YBCG,"7,794",2019
시드니,SYD,YSSY,"8,311",2014
퍼스,PER,YPPH,"7,760",2014
멜보른 툴라마린,MEL,YMML,"8,531",2014
바쿠 헤이다르,GYD,UBBB,"6,413",2014
치타공,CGP,VGEG,"3,710",2015
다카,DAC,VGHS,"3,740",2014
씨앰립,REP,VDSR,"3,484",2014
프놈펜,PNH,VDPP,"3,590",2014
평양,FNJ,ZKPY,206,2014
나디,NAN,NFFN,"8,116",2014
괌,GUM,PGUM,"3,222",2014
홍콩 첵랍콕,HKG,VHHH,"2,066",2014
하디라버드,HYD,VOHS,"5,158",2015
첸나이(마드라스),MAA,VOMM,"5,319",2014
뭄바이,BOM,VABB,"5,554",2014
델리,DEL,VIDP,"4,661",2014
덴파사르(발리),DPS,WADD,"5,248",2014
자카르타 소카르노-하타,CGK,WIII,"5,245",2014
아끼다,AXT,RJSK,"1,223",2014
아오모리,AOJ,RJSA,"1,283",2014
아사이까와,AKJ,RJEC,"1,518",2014
치토세(삿보로),CTS,RJCC,"1,424",2014
나고야,NGO,RJGG,975,2014
후쿠오카,FUK,RJFF,563,2014
모리오카,HNA,RJSI,"1,300",2014
하네다,HND,RJTT,"1,213",2014
미야코,MMY,ROMY,"1,410",2014
히로시마,HIJ,RJOA,674,2014
이바라키,IBR,RJAH,"1,254",2018
가고시마,KOJ,RJFK,740,2014
오사카 간사이,KIX,RJBB,861,2014
고찌,KCZ,RJOK,787,2014
키타큐슈,KKJ,RJFR,578,2014
고마스,KMQ,RJNK,895,2014
구마모도,KMJ,RJFT,652,2014
구시로,KUH,RJCK,"1,629",2014
마즈야마,MYJ,RJOM,695,2014
메만베츠,MMB,RJCM,"1,654",2014
요나고,YGJ,RJOH,647,2014
미야자키,KMI,RJFM,771,2014
나가사키,NGS,RJFU,595,2014
오키나와,OKA,ROAH,"1,255",2014
시라하마,SHM,RJBD,912,2014
나리타,NRT,RJAA,"1,260",2014
니이가타,KIJ,RJSN,"1,118",2014
오이타,OIT,RJFO,653,2014
오까야마,OKJ,RJOB,732,2014
사가,HSG,RJFS,594,2014
센다이,SDJ,RJSS,"1,276",2014
다가마스,TAK,RJOT,772,2014
도야마,TOY,RJNT,959,2014
우베,UBJ,RJDC,587,2014
요꼬다,OKO,RJTY,"1,170",2014
알마티,ALA,UAAA,"4,181",2014
비쉬케크,FRU,UCFM,"4,394",2014
루앙 프라방,LPQ,VLLB,"3,051",2015
비엔티안,VTE,VLVT,"3,175",2014
마카오,MFM,VMMC,"2,099",2014
코타키나발루,BKI,WBKK,"3,647",2014
쿠알라룸푸르,KUL,WMKK,"4,601",2014
쿠칭,KCH,WBGG,"4,311",2014
페낭,PEN,WMKP,"4,443",2014
조호바루,JHB,WMKJ,"4,601",2018
조호바루,JHB,WMKJ,"4,601",2014
말레국제공항,MLE,VRMM,"6,508",2014
울란바토르,ULN,ZMUB,"1,973",2014
만달레이,MDL,VYMD,"3,407",2014
랑군,RGN,VYYY,"3,741",2014
카투만두,KTM,VNKT,"3,972",2014
노우미아 톤투타,NOU,NWWW,"7,791",2014
오클랜드,AKL,NZAA,"9,629",2014
사이판,SPN,PGSN,"3,122",2014
코로르,ROR,PTRO,"3,433",2014
폰페이,PNI,PTPN,"4,657",2016
광저우,CAN,ZGGG,"2,002",2014
바오터우,BAV,ZBOW,"1,463",2016
북경,PEK,ZBAA,903,2014
장춘,CGQ,ZYCC,727,2014
장사,CSX,ZGHA,"1,606",2014
창저우,CZX,ZSCG,868,2014
청두,CTU,ZUUU,"2,208",2014
충칭(중경),CKG,ZUCK,"2,023",2014
쉬지아쭈앙(석가장),SJW,ZBSJ,"1,036",2014
대련,DLC,ZYTL,460,2014
다퉁(대동),DAT,ZBDT,"1,159",2015
푸저우,FOC,ZSFZ,"1,429",2014
쉬저우,XUZ,ZSXZ,908,2014
계림,KWL,ZGKL,"2,063",2014
구이양,KWE,ZUGY,"2,210",2014
하이코우,HAK,ZJHK,"2,485",2014
하이라얼,HLD,ZBLA,"1,410",2014
항조우,HGH,ZSHC,975,2014
하얼빈,HRB,ZYHB,906,2014
허페이,HFE,ZSOF,"1,057",2014
후허하오터,HET,ZBHH,"1,316",2014
상하이홍차오 공항,SHA,ZSSS,838,2014
퉁치,TXN,ZSTX,"1,144",2014
자무쓰(가목사),JMU,ZYJM,"1,092",2014
지난(제남),TNA,ZSJN,822,2014
쿤밍,KMG,ZPPP,"2,636",2014
연대,YNT,ZSYT,449,2014
란저우 쩡추안 공항,LHW,ZLLL,"2,029",2014
리장 공항,LJG,ZPLJ,"2,734",2014
무단장(목단강),MDG,ZYMD,827,2014
난창,KHN,ZSCN,"1,368",2014
난징,NKG,ZSNJ,941,2014
난닝,NNG,ZGNN,"2,403",2014
닝보,NGB,ZSNB,964,2014
푸동,PVG,ZSPD,821,2014
청도,TAO,ZSQD,557,2014
친황다오 산하이관 공항,SHP,,645,2014
치치하얼(제제합이),NDG,ZYQQ,"1,105",2014
진장,JJN,ZSQZ,"1,591",2014
산야,SYX,ZJSY,"2,696",2014
산터우,SWA,ZGOW,"1,811",2014
심양(선양),SHE,ZYTX,528,2014
심천,SZX,ZGSZ,"2,042",2014
타이유안,TYN,ZBYN,"1,218",2014
톈진(천진),TSN,ZBTJ,816,2014
우르무치,URC,ZWWW,"3,338",2014
