입국,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country,국가명,2022,2022.1월,2022.2월,2022.3월,2022.4월,2022.5월,2022.6월,2022.7월,2022.8월,2022.9월,2022.10월,2022.11월,2022.12월
G.TOTAL,,3198017,"81,851","99,999","96,768","127,919","175,922","227,713","263,986","310,945","337,638","476,097","459,906","539,273"
,,,,,,,,,,,,,,
Foreign Visitors,,3170024,"81,002","99,083","95,725","125,780","173,678","225,268","261,602","308,626","334,369","472,502","456,450","535,939"
Overseas Korean,교포,27993,849,916,"1,043","2,139","2,244","2,445","2,384","2,319","3,269","3,595","3,456","3,334"
,,,,,,,,,,,,,,
ASIA,,1984107,"45,724","59,592","59,820","61,854","87,630","122,646","149,181","187,714","198,398","307,450","313,130","390,968"
,,,,,,,,,,,,,,
Japan,일본,296867,"1,162","2,934","1,397","2,231","3,701","5,855","11,789","26,482","27,560","67,159","62,422","84,175"
Taiwan,대만,72925,309,857,410,505,786,"1,008","1,756","4,401","4,555","11,358","17,914","29,066"
"Hong Kong, China(including Hong Kong ID.)",홍콩,61195,76,272,150,140,307,662,"1,237","2,043","3,225","11,216","14,721","27,146"
Macao,마카오,440,3,2,5,6,8,7,16,39,41,75,97,141
Thailand,태국,179259,"1,108","1,492","1,452","3,664","8,772","16,822","16,808","11,056","13,315","34,428","29,316","41,026"
Malaysia,말레이시아,70449,557,987,624,"1,280","2,432","3,415","3,799","4,826","6,354","12,349","13,113","20,713"
Philippines,필리핀,199845,"9,363","9,038","11,397","12,138","14,119","15,139","18,146","17,304","18,191","26,966","23,963","24,081"
Indonesia,인도네시아,106750,"4,550","4,425","4,234","4,331","5,643","8,265","8,998","10,035","9,344","14,750","14,299","17,876"
Singapore,싱가포르,165272,"1,345","1,489","2,450","3,805","6,776","10,462","7,832","7,567","14,862","24,761","33,212","50,711"
Brunei,브루나이,1447,3,55,4,1,13,29,47,128,70,97,180,820
Myanmar,미얀마,65957,"5,215","4,291","4,781","4,728","5,613","5,275","6,654","6,619","5,959","7,206","5,472","4,144"
Laos,라오스,4168,64,98,22,261,357,109,297,427,603,530,742,658
Vietnam,베트남,185061,"2,318","5,002","5,096","4,041","6,429","12,884","18,867","24,670","22,784","32,010","27,313","23,647"
East-Timor,티모르,1610,118,55,109,148,157,118,146,176,164,152,148,119
India,인도,64829,"2,871","3,249","3,303","3,114","4,250","5,160","6,656","7,159","7,227","7,968","8,253","5,619"
Sri Lanka,스리랑카,15437,751,475,817,611,757,"1,438","1,420","1,293","1,837","1,910","2,357","1,771"
Pakistan,파키스탄,9511,363,538,490,637,609,725,800,"1,034",966,"1,589",935,825
Nepal,네팔,27168,"1,031",975,"1,484","1,586","2,129","3,197","2,922","3,006","3,012","2,349","3,533","1,944"
Bangladesh,방글라데시,15274,720,689,898,"1,117","1,095","1,213","1,314","1,959","1,395","1,228","1,862","1,784"
Afghanistan,아프가니스탄,237,5,22,10,9,12,34,11,42,28,15,20,29
Cambodia,캄보디아,24901,900,850,818,"1,026","1,646","1,667","1,982","2,227","2,947","3,447","3,499","3,892"
Bhutan,부탄,152,4,3,2,5,10,11,16,20,21,31,19,10
Maldives,몰디브,106,3,1,4,2,1,6,10,7,25,14,30,3
Mongolia,몽골,62670,628,"1,174","1,304","1,018","1,161","3,864","5,892","8,749","8,915","8,002","9,986","11,977"
Sikkim,시킴,0,,,,,,,,,,,,
China P. R.,중국,227358,"9,489","16,752","14,726","10,230","11,253","12,741","17,907","30,248","29,531","22,940","24,174","27,367"
(China),(중국1),188857,"7,493","14,446","12,737","8,701","8,849","9,803","14,317","27,121","25,189","18,109","19,219","22,873"
(China-Korean),(한국계중국인),38501,"1,996","2,306","1,989","1,529","2,404","2,938","3,590","3,127","4,342","4,831","4,955","4,494"
D.P.R Korea,북한,0,,,,,,,,,,,,
Mayotte,마요테,0,,,,,,,,,,,,
British Indian Ocean Territory,영령인도양섬,0,,,,,,,,,,,,
United Nations,국제연합,725,11,11,13,28,61,35,55,50,96,115,181,69
others,(아시아기타),0,,,,,,,,,,,,
,,,,,,,,,,,,,,
Middle East Asia,중동,124494,"2,757","3,856","3,820","5,192","9,533","12,505","13,804","16,147","15,371","14,785","15,369","11,355"
,GCC6개국,15876,268,395,363,345,897,"1,187","1,827","1,972","1,698","2,058","3,164","1,702"
Iran,이란,2409,61,112,144,67,138,190,183,300,287,422,320,185
Saudi Arabia,사우디아라비아,8491,127,157,135,68,414,552,844,"1,185",940,"1,167","2,242",660
Israel,이스라엘,6266,110,93,107,241,445,444,475,481,"1,174","1,409",851,436
Jordan,요르단,1517,71,96,91,33,78,166,123,163,215,220,164,97
Lebanon,레바논,609,24,32,26,46,48,71,32,45,58,99,84,44
Kuwait,쿠웨이트,905,12,4,12,12,44,78,146,164,136,106,129,62
Syria,시리아,1456,55,96,112,54,99,140,103,188,132,214,149,114
Turkiye,튀르키예,18051,498,540,574,"1,392","2,020","1,594","1,582","1,938","1,737","2,151","2,138","1,887"
Yemen,예멘공화국,595,20,31,24,23,41,64,48,90,83,63,58,50
Yemen P.D.R.,예멘인민민주주의공화국,0,,,,,,,,,,,,
Qatar,카타르,919,7,8,12,17,80,83,260,82,61,91,111,107
U.A.E,아랍에미리트연합,4736,112,209,179,230,279,392,468,457,462,570,566,812
Oman,오만,544,7,13,5,15,65,51,96,59,57,74,68,34
Iraq,이라크,1428,39,77,92,124,91,104,136,158,126,200,157,124
Bahrain,바레인,281,3,4,20,3,15,31,13,25,42,50,48,27
Cyprus,키프로스,321,13,10,19,20,18,31,32,43,26,47,41,21
Palestine,팔레스타인,177,5,12,7,4,1,18,9,23,22,31,22,23
Uzbekistan,우즈베키스탄,36195,"1,003","1,575","1,510","1,454","2,275","3,152","3,997","5,781","5,377","3,761","3,541","2,769"
Kazakhstan,카자흐스탄,30273,245,450,418,829,"2,967","4,732","4,319","3,658","3,055","2,925","3,542","3,133"
Kyrgyzstan,키르기스스탄,5388,240,162,191,351,252,442,519,798,695,694,635,409
Turkmenistan,투르크메니스탄,314,6,21,4,,4,5,4,34,41,43,91,61
Tadjikistan,타지키스탄,3619,99,154,138,209,159,165,415,475,645,448,412,300
others,중동 기타,0,,,,,,,,,,,,
,,,,,,,,,,,,,,
Americas,미주,667772,"19,748","19,869","20,390","37,993","51,659","64,865","65,303","61,643","75,336","92,022","80,119","78,825"
,,,,,,,,,,,,,,
United States,미국,543648,"15,570","15,845","16,968","30,882","42,490","55,444","53,942","50,299","60,435","73,560","64,861","63,352"
Canada,캐나다,93064,"3,453","2,920","2,681","5,559","7,053","7,231","8,871","8,077","11,117","13,205","11,159","11,738"
Mexico,멕시코,8676,255,445,298,512,586,549,645,911,"1,078","1,298","1,105",994
Nicaragua,니카라과,77,2,2,1,3,5,3,11,12,11,12,9,6
Honduras,온두라스,264,5,7,,13,14,10,58,12,39,38,45,23
Dominica,도미니카연방,136,,4,4,5,8,11,11,19,17,24,17,16
El Salvador,엘살바도르,346,10,12,12,18,19,20,22,39,49,72,41,32
Haiti,아이티,195,,2,,58,106,4,3,5,7,5,2,3
Trinidad-Tobago,트리니다드토바고,152,7,4,6,8,12,9,15,18,21,19,20,13
Guatemala,과테말라,340,4,9,6,10,16,16,29,42,23,77,72,36
Jamaica,자메이카,308,16,9,7,8,13,24,19,52,41,60,28,31
Barbados,바베이도스,53,,2,3,3,4,4,5,4,12,9,5,2
St.Vincent,세인트빈센트 그레나딘,22,,1,1,,2,2,4,2,5,1,4,
Bahamas,바하마,41,1,1,,1,,1,5,9,6,7,7,3
Bermuda,버뮤다,0,,,,,,,,,,,,
Belize,벨리즈,29,2,1,1,,1,3,1,1,6,2,8,3
